"GSP Group ID","Market Participant ID","Market Participant Role Code","Effective From Date (MPR)","Effective From Date (PAA)","Effective To Date (PAA)"
"_G","NORW","P","01/04/1996","01/04/1996",""
"_G","SOUT","P","01/04/1996","23/01/2004",""
"_G","IPNL","P","01/08/2004","01/08/2004",""
"_G","GUCL","P","03/06/2005","12/08/2005",""
"_G","ETCL","P","26/05/2006","01/09/2006",""
"_G","LENG","P","01/04/2005","07/10/2008",""
"_G","HARL","P","05/09/2014","17/09/2014",""
"_G","PENL","P","17/06/2015","17/06/2015",""
"_G","UKPD","P","16/03/2016","15/06/2016",""
"_G","GGEN","P","15/03/2017","15/11/2017",""
"_G","UDNL","P","16/11/2016","20/12/2017",""
"_G","FEAL","P","15/11/2017","14/02/2018",""
"_G","VATT","P","14/02/2018","23/01/2019",""
"_G","MPDL","P","19/04/2017","17/04/2019",""
"_G","FORB","P","20/03/2019","22/01/2020",""
"_G","INDI","P","22/04/2020","16/09/2020",""
"_G","STRK","P","22/02/2023","21/02/2024",""
"_G","IDCS","P","01/09/2023","17/04/2024",""
"_G","UTAL","P","22/03/2023","18/04/2024",""
"_G","AENL","P","19/04/2023","22/05/2024",""
"_G","AURO","P","21/08/2024","20/11/2024",""
"_G","VEPN","P","22/01/2025","01/04/2025",""
"_G","AIDI","P","17/04/2024","21/05/2025",""
"_H","SOUT","P","01/04/1996","01/04/1996",""
"_H","IPNL","P","01/08/2004","01/08/2004",""
"_H","GUCL","P","03/06/2005","12/08/2005",""
"_H","ETCL","P","26/05/2006","01/09/2006",""
"_H","LENG","P","01/04/2005","07/10/2008",""
"_H","HARL","P","05/09/2014","17/09/2014",""
"_H","PENL","P","17/06/2015","17/06/2015",""
"_H","UKPD","P","16/03/2016","15/06/2016",""
"_H","UDNL","P","16/11/2016","19/04/2017",""
"_H","GGEN","P","15/03/2017","15/11/2017",""
"_H","FEAL","P","15/11/2017","14/02/2018",""
"_H","VATT","P","14/02/2018","23/01/2019",""
"_H","MPDL","P","19/04/2017","17/04/2019",""
"_H","FORB","P","20/03/2019","22/01/2020",""
"_H","INDI","P","22/04/2020","16/09/2020",""
"_H","STRK","P","22/02/2023","21/02/2024",""
"_H","IDCS","P","01/09/2023","17/04/2024",""
"_H","UTAL","P","22/03/2023","18/04/2024",""
"_H","AENL","P","19/04/2023","22/05/2024",""
"_H","AURO","P","21/08/2024","20/11/2024",""
"_H","VEPN","P","22/01/2025","01/04/2025",""
"_H","AIDI","P","17/04/2024","21/05/2025",""
"_J","SEEB","P","01/04/1996","01/04/1996",""
"_J","IPNL","P","01/08/2004","01/08/2004",""
"_J","GUCL","P","03/06/2005","12/08/2005",""
"_J","SOUT","P","01/04/1996","10/02/2006",""
"_J","ETCL","P","26/05/2006","01/09/2006",""
"_J","LENG","P","01/04/2005","07/10/2008",""
"_J","HARL","P","05/09/2014","17/09/2014",""
"_J","PENL","P","17/06/2015","17/06/2015",""
"_J","UKPD","P","16/03/2016","15/06/2016",""
"_J","UDNL","P","16/11/2016","19/04/2017",""
"_J","GGEN","P","15/03/2017","15/11/2017",""
"_J","FEAL","P","15/11/2017","14/02/2018",""
"_J","VATT","P","14/02/2018","23/01/2019",""
"_J","MPDL","P","19/04/2017","17/04/2019",""
"_J","FORB","P","20/03/2019","22/01/2020",""
"_J","INDI","P","22/04/2020","16/09/2020",""
"_J","STRK","P","22/02/2023","21/02/2024",""
"_J","IDCS","P","01/09/2023","17/04/2024",""
"_J","UTAL","P","22/03/2023","18/04/2024",""
"_J","AENL","P","19/04/2023","22/05/2024",""
"_J","AURO","P","21/08/2024","20/11/2024",""
"_J","VEPN","P","22/01/2025","01/04/2025",""
"_J","AIDI","P","17/04/2024","21/05/2025",""
"_K","SWAE","P","01/04/1996","01/04/1996",""
"_K","IPNL","P","01/08/2004","01/08/2004",""
"_K","GUCL","P","03/06/2005","12/08/2005",""
"_K","SOUT","P","01/04/1996","03/03/2006",""
"_K","ETCL","P","26/05/2006","01/09/2006",""
"_K","LENG","P","01/04/2005","07/10/2008",""
"_K","HARL","P","05/09/2014","17/09/2014",""
"_K","PENL","P","17/06/2015","17/06/2015",""
"_K","UDNL","P","16/11/2016","19/04/2017",""
"_K","GGEN","P","15/03/2017","15/11/2017",""
"_K","FEAL","P","15/11/2017","14/02/2018",""
"_K","VATT","P","14/02/2018","23/01/2019",""
"_K","MPDL","P","19/04/2017","17/04/2019",""
"_K","FORB","P","20/03/2019","22/01/2020",""
"_K","INDI","P","22/04/2020","16/09/2020",""
"_K","UKPD","P","16/03/2016","18/11/2020",""
"_K","STRK","P","22/02/2023","21/02/2024",""
"_K","IDCS","P","01/09/2023","17/04/2024",""
"_K","UTAL","P","22/03/2023","18/04/2024",""
"_K","AENL","P","19/04/2023","22/05/2024",""
"_K","AURO","P","21/08/2024","20/11/2024",""
"_K","VEPN","P","22/01/2025","01/04/2025",""
"_K","AIDI","P","17/04/2024","21/05/2025",""
"_L","SWEB","P","01/04/1996","01/04/1996",""
"_L","IPNL","P","01/08/2004","01/08/2004",""
"_L","GUCL","P","03/06/2005","12/08/2005",""
"_L","SOUT","P","01/04/1996","28/07/2006",""
"_L","ETCL","P","26/05/2006","01/09/2006",""
"_L","LENG","P","01/04/2005","07/10/2008",""
"_L","HARL","P","05/09/2014","17/09/2014",""
"_L","PENL","P","17/06/2015","17/06/2015",""
"_L","UDNL","P","16/11/2016","19/04/2017",""
"_L","GGEN","P","15/03/2017","15/11/2017",""
"_L","FEAL","P","15/11/2017","14/02/2018",""
"_L","VATT","P","14/02/2018","23/01/2019",""
"_L","MPDL","P","19/04/2017","17/04/2019",""
"_L","FORB","P","20/03/2019","22/01/2020",""
"_L","INDI","P","22/04/2020","16/09/2020",""
"_L","UKPD","P","16/03/2016","18/11/2020",""
"_L","STRK","P","22/02/2023","21/02/2024",""
"_L","IDCS","P","01/09/2023","17/04/2024",""
"_L","AENL","P","19/04/2023","22/05/2024",""
"_L","AURO","P","21/08/2024","20/11/2024",""
"_L","VEPN","P","22/01/2025","01/04/2025",""
"_L","AIDI","P","17/04/2024","21/05/2025",""
"_M","YELG","P","01/04/1996","01/04/1996",""
"_M","IPNL","P","01/08/2004","01/08/2004",""
"_M","SOUT","P","01/04/1996","08/07/2005",""
"_M","GUCL","P","03/06/2005","12/08/2005",""
"_M","ETCL","P","26/05/2006","01/09/2006",""
"_M","LENG","P","01/04/2005","07/10/2008",""
"_M","HARL","P","05/09/2014","17/09/2014",""
"_M","PENL","P","17/06/2015","17/06/2015",""
"_M","UKPD","P","16/03/2016","15/06/2016",""
"_M","GGEN","P","15/03/2017","15/11/2017",""
"_M","UDNL","P","16/11/2016","20/12/2017",""
"_M","FEAL","P","15/11/2017","14/02/2018",""
"_M","VATT","P","14/02/2018","23/01/2019",""
"_M","MPDL","P","19/04/2017","17/04/2019",""
"_M","FORB","P","20/03/2019","22/01/2020",""
"_M","INDI","P","22/04/2020","16/09/2020",""
"_M","STRK","P","22/02/2023","21/02/2024",""
"_M","IDCS","P","01/09/2023","17/04/2024",""
"_M","UTAL","P","22/03/2023","18/04/2024",""
"_M","AENL","P","19/04/2023","22/05/2024",""
"_M","AURO","P","21/08/2024","20/11/2024",""
"_M","VEPN","P","22/01/2025","01/04/2025",""
"_M","AIDI","P","17/04/2024","21/05/2025",""
"_N","SPOW","P","01/04/1996","01/04/1996",""
"_N","HYDE","P","01/04/1996","09/07/2004",""
"_N","IPNL","P","01/08/2004","01/08/2004",""
"_N","GUCL","P","03/06/2005","12/08/2005",""
"_N","ETCL","P","26/05/2006","01/09/2006",""
"_N","LENG","P","01/04/2005","07/10/2008",""
"_N","HARL","P","05/09/2014","17/09/2014",""
"_N","PENL","P","17/06/2015","17/06/2015",""
"_N","GGEN","P","15/03/2017","15/11/2017",""
"_N","UDNL","P","16/11/2016","20/12/2017",""
"_N","FEAL","P","15/11/2017","14/02/2018",""
"_N","VATT","P","14/02/2018","23/01/2019",""
"_N","MPDL","P","19/04/2017","17/04/2019",""
"_N","FORB","P","20/03/2019","22/01/2020",""
"_N","INDI","P","22/04/2020","16/09/2020",""
"_N","UKPD","P","16/03/2016","18/11/2020",""
"_N","STRK","P","22/02/2023","21/02/2024",""
"_N","IDCS","P","01/09/2023","17/04/2024",""
"_N","UTAL","P","22/03/2023","18/04/2024",""
"_N","AENL","P","19/04/2023","22/05/2024",""
"_N","AURO","P","21/08/2024","20/11/2024",""
"_N","VEPN","P","22/01/2025","01/04/2025",""
"_N","AIDI","P","17/04/2024","21/05/2025",""
"_P","HYDE","P","01/04/1996","01/04/1996",""
"_P","IPNL","P","01/08/2004","01/08/2004",""
"_P","GUCL","P","03/06/2005","12/08/2005",""
"_P","ETCL","P","26/05/2006","01/09/2006",""
"_P","LENG","P","01/04/2005","07/10/2008",""
"_P","HARL","P","05/09/2014","17/09/2014",""
"_P","PENL","P","17/06/2015","17/06/2015",""
"_P","GGEN","P","15/03/2017","15/11/2017",""
"_P","UDNL","P","16/11/2016","20/12/2017",""
"_P","FEAL","P","15/11/2017","14/02/2018",""
"_P","VATT","P","14/02/2018","23/01/2019",""
"_P","MPDL","P","19/04/2017","17/04/2019",""
"_P","FORB","P","20/03/2019","22/01/2020",""
"_P","INDI","P","22/04/2020","16/09/2020",""
"_P","STRK","P","22/02/2023","21/02/2024",""
"_P","IDCS","P","01/09/2023","17/04/2024",""
"_P","AENL","P","19/04/2023","22/05/2024",""
"_P","AURO","P","21/08/2024","20/11/2024",""
"_P","AIDI","P","17/04/2024","21/05/2025",""
